File,Group,Person,Task,Category,Native English,Knowledge,Difficulty
g0pA_taska.txt,0,A,a,non,native,1,1
g0pA_taskb.txt,0,A,b,cut,native,4,3
g0pA_taskc.txt,0,A,c,light,native,5,3
g0pA_taskd.txt,0,A,d,heavy,native,3,4
g0pA_taske.txt,0,A,e,non,native,4,3
g0pB_taska.txt,0,B,a,non,native,2,1
g0pB_taskb.txt,0,B,b,non,native,3,3
g0pB_taskc.txt,0,B,c,cut,native,5,3
g0pB_taskd.txt,0,B,d,light,native,2,2
g0pB_taske.txt,0,B,e,heavy,native,4,3
g0pC_taska.txt,0,C,a,heavy,native,4,3
g0pC_taskb.txt,0,C,b,non,native,3,3
g0pC_taskc.txt,0,C,c,non,native,2,4
g0pC_taskd.txt,0,C,d,cut,native,1,5
g0pC_taske.txt,0,C,e,light,native,2,2
g0pD_taska.txt,0,D,a,cut,non-native,1,1
g0pD_taskb.txt,0,D,b,light,non-native,2,2
g0pD_taskc.txt,0,D,c,heavy,non-native,3,3
g0pD_taskd.txt,0,D,d,non,non-native,2,3
g0pD_taske.txt,0,D,e,non,non-native,3,3
g0pE_taska.txt,0,E,a,light,non-native,1,1
g0pE_taskb.txt,0,E,b,heavy,non-native,2,2
g0pE_taskc.txt,0,E,c,non,non-native,2,2
g0pE_taskd.txt,0,E,d,non,non-native,1,1
g0pE_taske.txt,0,E,e,cut,non-native,2,2
g1pA_taska.txt,1,A,a,non,native,5,4
g1pA_taskb.txt,1,A,b,heavy,native,4,3
g1pA_taskc.txt,1,A,c,light,native,5,3
g1pA_taskd.txt,1,A,d,cut,native,5,5
g1pA_taske.txt,1,A,e,non,native,5,4
g1pB_taska.txt,1,B,a,non,native,5,4
g1pB_taskb.txt,1,B,b,non,native,5,4
g1pB_taskc.txt,1,B,c,heavy,native,5,3
g1pB_taskd.txt,1,B,d,light,native,5,2
g1pB_taske.txt,1,B,e,cut,native,5,1
g1pD_taska.txt,1,D,a,light,native,2,1
g1pD_taskb.txt,1,D,b,cut,native,4,1
g1pD_taskc.txt,1,D,c,non,native,3,2
g1pD_taskd.txt,1,D,d,non,native,2,4
g1pD_taske.txt,1,D,e,heavy,native,2,2
g2pA_taska.txt,2,A,a,non,native,1,2
g2pA_taskb.txt,2,A,b,heavy,native,3,2
g2pA_taskc.txt,2,A,c,light,native,5,5
g2pA_taskd.txt,2,A,d,cut,native,3,3
g2pA_taske.txt,2,A,e,non,native,5,5
g2pB_taska.txt,2,B,a,non,native,2,2
g2pB_taskb.txt,2,B,b,non,native,4,3
g2pB_taskc.txt,2,B,c,heavy,native,5,4
g2pB_taskd.txt,2,B,d,light,native,3,5
g2pB_taske.txt,2,B,e,cut,native,4,5
g2pC_taska.txt,2,C,a,cut,native,2,1
g2pC_taskb.txt,2,C,b,non,native,5,3
g2pC_taskc.txt,2,C,c,non,native,2,3
g2pC_taskd.txt,2,C,d,heavy,native,2,3
g2pC_taske.txt,2,C,e,light,native,5,4
g2pE_taska.txt,2,E,a,heavy,non-native,3,3
g2pE_taskb.txt,2,E,b,light,non-native,3,2
g2pE_taskc.txt,2,E,c,cut,non-native,2,2
g2pE_taskd.txt,2,E,d,non,non-native,3,3
g2pE_taske.txt,2,E,e,non,non-native,2,2
g3pA_taska.txt,3,A,a,non,native,1,3
g3pA_taskb.txt,3,A,b,heavy,native,3,2
g3pA_taskc.txt,3,A,c,light,native,5,3
g3pA_taskd.txt,3,A,d,cut,native,4,1
g3pA_taske.txt,3,A,e,non,native,2,3
g3pB_taska.txt,3,B,a,non,native,4,3
g3pB_taskb.txt,3,B,b,non,native,2,3
g3pB_taskc.txt,3,B,c,heavy,native,1,4
g3pB_taskd.txt,3,B,d,light,native,3,4
g3pB_taske.txt,3,B,e,cut,native,2,2
g3pC_taska.txt,3,C,a,cut,native,1,1
g3pC_taskb.txt,3,C,b,non,native,4,3
g3pC_taskc.txt,3,C,c,non,native,2,2
g3pC_taskd.txt,3,C,d,heavy,native,4,3
g3pC_taske.txt,3,C,e,light,native,2,1
g4pB_taska.txt,4,B,a,non,non-native,5,1
g4pB_taskb.txt,4,B,b,non,non-native,5,1
g4pB_taskc.txt,4,B,c,heavy,non-native,3,1
g4pB_taskd.txt,4,B,d,light,non-native,3,1
g4pB_taske.txt,4,B,e,cut,non-native,5,1
g4pC_taska.txt,4,C,a,cut,non-native,1,1
g4pC_taskb.txt,4,C,b,non,non-native,2,2
g4pC_taskc.txt,4,C,c,non,non-native,2,2
g4pC_taskd.txt,4,C,d,heavy,non-native,1,1
g4pC_taske.txt,4,C,e,light,non-native,2,2
g4pD_taska.txt,4,D,a,light,non-native,1,2
g4pD_taskb.txt,4,D,b,cut,non-native,5,1
g4pD_taskc.txt,4,D,c,non,non-native,3,2
g4pD_taskd.txt,4,D,d,non,non-native,2,4
g4pD_taske.txt,4,D,e,heavy,non-native,4,2
g4pE_taska.txt,4,E,a,heavy,non-native,1,2
g4pE_taskb.txt,4,E,b,light,non-native,3,2
g4pE_taskc.txt,4,E,c,cut,non-native,4,2
g4pE_taskd.txt,4,E,d,non,non-native,4,4
g4pE_taske.txt,4,E,e,non,non-native,4,5
